# We use 12-month moving average values in the fit				
#				
# Year	log( CO2 / 277.3 )	Volcanic	Temperature (C) 	Uncertainty (C, 1 sigma)
1782.9166666667	0.0076467219	0.0083576152	8.0647011	0.5336655594
1783	0.0077160254	0.0081196901	8.1248951	0.5572730465
1783.0833333333	0.0077854349	7.6438615861	8.1405258	0.5423713574
1783.1666666667	0.0078549479	15.0622287324	8.1266832	0.5499287158
1783.25	0.007924562	22.2694093663	8.0815763	0.6049112363
1783.3333333333	0.0079942747	29.2714155578	8.1014471	0.5816777706
1783.4166666667	0.0080640838	36.0740882249	8.0012484	0.5661819194
1783.5	0.0081339868	42.6831020063	8.0670595	0.6026024432
1783.5833333333	0.0082039813	49.1039699944	8.2148485	0.6725165045
1783.6666666667	0.0082740649	55.3420483348	7.8082099	0.6935608519
1783.75	0.0083442352	61.4025406939	7.6983414	0.6593499696
1783.8333333333	0.0084144898	67.2905025999	7.5647931	0.6920604106
1783.9166666667	0.0084848263	73.0108456599	7.4054599	0.6844408119
1784	0.0085552423	78.568341657	7.2954674	0.6870343749
1784.0833333333	0.0086257355	76.3316534832	7.3583903	0.7245674896
1784.1666666667	0.0086963033	74.15863948	7.4176831	0.7634531475
1784.25	0.0087669435	72.0474869673	7.4291191	0.7210248137
1784.3333333333	0.0088376536	69.9964348686	7.2787738	0.701896651
1784.4166666667	0.0089084312	68.0037722417	7.4925532	0.6931540516
1784.5	0.008979274	66.0678368518	7.558167	0.668358324
1784.5833333333	0.0090501795	64.1870137844	7.6222749	0.68119482
1784.6666666667	0.0091211454	62.3597340988	7.7138906	0.6335032238
1784.75	0.0091921693	60.5844735189	7.4656296	0.6371959557
1784.8333333333	0.0092632487	58.8597511615	7.3977962	0.5558000851
1784.9166666667	0.0093343813	57.1841283018	7.3129687	0.5477901652
1785	0.0094055647	55.5562071722	7.3108215	0.5306677143
1785.0833333333	0.0094767965	53.9746297972	7.2433891	0.4822380443
1785.1666666667	0.0095480744	52.4380768599	7.1396041	0.4515014916
1785.25	0.0096193958	50.945266602	7.1086559	0.4505404451
1785.3333333333	0.0096907586	49.4949537545	7.1208043	0.4416707009
1785.4166666667	0.0097621601	48.0859284984	7.1378341	0.44799248
1785.5	0.0098335982	46.7170154562	7.0821996	0.458876804
1785.5833333333	0.0099050703	45.3870727111	7.0375752	0.4538721938
1785.6666666667	0.0099765742	44.0949908543	7.1018219	0.4645385187
1785.75	0.0100481074	42.8396920598	7.4375648	0.4817121822
1785.8333333333	0.0101196675	41.6201291853	7.6552463	0.4830132155
1785.9166666667	0.0101912522	40.4352848984	7.7086143	0.4841317572
1786	0.0102628591	39.2841708285	7.6958261	0.4973340138
1786.0833333333	0.0103344857	38.1658267416	7.7128558	0.4970840422
1786.1666666667	0.0104061298	37.07931974	7.724865	0.4842265673
1786.25	0.0104777889	36.0237434837	7.8346658	0.4478713198
1786.3333333333	0.0105494607	34.9982174343	7.8531957	0.4302320234
1786.4166666667	0.0106211428	34.0018861209	7.5301261	0.4232236089
1786.5	0.0106928328	33.0339184259	7.4733367	0.4413686347
1786.5833333333	0.0107645283	32.0935068922	7.6267676	0.4256360293
